sample id,source,batch number,batch date,xrf-wafer_formula,xrf-wafer_stdev,xrf-gde_formula,xrf-gde_stdev,libs-wafer_formula,libs-wafer_stdev,xrf-wafter-afteranneal_formula,xrf-wafer_Ag_mean,xrf-wafer_Ag_stdev,xrf-wafer_Au_mean,xrf-wafer_Au_stdev,xrf-gde_Ag_mean,xrf-gde_Ag_stdev,xrf-gde_Au_mean,xrf-gde_Au_stdev,xrf-wafer_Cu_mean,xrf-wafer_Cu_stdev,xrf-wafer_Hg_mean,xrf-wafer_Hg_stdev,xrf-wafer_Ir_mean,xrf-wafer_Ir_stdev,xrf-wafer_Pd_mean,xrf-wafer_Pd_stdev,xrf-wafer_Rh_mean,xrf-wafer_Rh_stdev,xrf-wafer_Ru_mean,xrf-wafer_Ru_stdev,xrf-wafer_Tl_mean,xrf-wafer_Tl_stdev,xrf-wafer_Cd_mean,xrf-wafer_Cd_stdev,xrf-wafer_Sn_mean,xrf-wafer_Sn_stdev,xrf-wafer_Co_mean,xrf-wafer_Co_stdev,xrf-wafer_Cr_mean,xrf-wafer_Cr_stdev,xrf-wafer_Fe_mean,xrf-wafer_Fe_stdev,xrf-wafer_Ga_mean,xrf-wafer_Ga_stdev,xrf-wafer_In_mean,xrf-wafer_In_stdev,xrf-wafer_Mn_mean,xrf-wafer_Mn_stdev,xrf-wafer_Ni_mean,xrf-wafer_Ni_stdev,xrf-wafer_O_mean,xrf-wafer_O_stdev,xrf-wafer_Pb_mean,xrf-wafer_Pb_stdev,xrf-wafer_Si_mean,xrf-wafer_Si_stdev,xrf-wafer_Zn_mean,xrf-wafer_Zn_stdev,xrf-gde_In_mean,xrf-gde_In_stdev,libs-wafer_Au_mean,libs-wafer_Au_stdev,libs-wafer_In_mean,libs-wafer_In_stdev,xrf-gde_Cu_mean,xrf-gde_Cu_stdev,xrf-wafter-afteranneal_Pd_mean,xrf-wafter-afteranneal_Pd_stdev,xrf-wafter-afteranneal_Sn_mean,xrf-wafter-afteranneal_Sn_stdev,xrf-wafter-afteranneal_stdev,xrf-gde_Pd_mean,xrf-gde_Pd_stdev,xrf-gde_Sn_mean,xrf-gde_Sn_stdev,xrf-gde_Zn_mean,xrf-gde_Zn_stdev,xrf-gde_Ga_mean,xrf-gde_Ga_stdev
vsp1_240503_Ag-0.417-Au-0.583_pp0_rep1,vsp,1,240503,Ag-0.45-Au-0.55,"[0.01, 0.01]",,,,,,0.45,0.01,0.55,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vsp1_240503_Ag-0.429-Au-0.571_pp0_rep1,vsp,1,240503,Ag-0.48-Au-0.52,"[0.01, 0.01]",,,,,,0.48,0.01,0.52,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vsp1_240503_Ag-0.444-Au-0.556_pp0_rep1,vsp,1,240503,Ag-0.49-Au-0.51,"[0.01, 0.01]",,,,,,0.49,0.01,0.51,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vsp1_240503_Ag-0.5-Au-0.5_pp0_rep1,vsp,1,240503,Ag-0.53-Au-0.47,"[0.01, 0.01]",Ag-0.665-Au-0.335,"[0.007, 0.007]",,,,0.53,0.01,0.47,0.01,0.665,0.007,0.335,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vsp1_240503_Ag-0.556-Au-0.444_pp0_rep1,vsp,1,240503,Ag-0.58-Au-0.42,"[0.0, 0.0]",,,,,,0.58,0.0,0.42,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vsp1_240503_Ag-0.583-Au-0.417_pp0_rep1,vsp,1,240503,Ag-0.61-Au-0.39,"[0.01, 0.01]",,,,,,0.61,0.01,0.39,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vsp1_240503_Ag-0.6-Au-0.4_pp0_rep1,vsp,1,240503,Ag-0.604-Au-0.396,"[0.01, 0.01]",Ag-0.684-Au-0.316,"[0.004, 0.004]",,,,0.61,0.01,0.4,0.01,0.684,0.004,0.316,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vsp1_240503_Ag-0.615-Au-0.385_pp0_rep1,vsp,1,240503,Ag-0.64-Au-0.36,"[0.01, 0.01]",,,,,,0.64,0.01,0.36,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vsp1_240503_Ag-0.625-Au-0.375_pp0_rep1,vsp,1,240503,Ag-0.65-Au-0.35,"[0.0, 0.0]",,,,,,0.65,0.0,0.35,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vsp1_240503_Ag-0.667-Au-0.333_pp0_rep1,vsp,1,240503,Ag-0.68-Au-0.32,"[0.01, 0.01]",Ag-0.718-Au-0.282,"[0.01, 0.01]",,,,0.68,0.01,0.32,0.01,0.718,0.01,0.282,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vsp1_240503_Ag-0.7-Au-0.3_pp0_rep1,vsp,1,240503,Ag-0.71-Au-0.29,"[0.01, 0.01]",,,,,,0.71,0.01,0.29,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vsp1_240503_Ag-0.714-Au-0.286_pp0_rep1,vsp,1,240503,Ag-0.72-Au-0.28,"[0.01, 0.01]",,,,,,0.72,0.01,0.28,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vsp1_240503_Ag-0.75-Au-0.25_pp0_rep1,vsp,1,240503,Ag-0.77-Au-0.23,"[0.01, 0.01]",Ag-0.769-Au-0.231,"[0.003, 0.003]",,,,0.77,0.01,0.23,0.01,0.769,0.003,0.231,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vsp1_240503_Ag-0.778-Au-0.222_pp0_rep1,vsp,1,240503,Ag-0.81-Au-0.19,"[0.01, 0.01]",,,,,,0.81,0.01,0.19,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vsp1_240503_Ag-1.0_pp0_rep1,vsp,1,240503,Ag-1.0,[0.0],Ag-1.0,[0.001],,,,1.01,0.0,-0.01,0.0,0.992,0.001,0.008,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1,uoft,4,240405,Ag-0.129-Cu-0.083-Pd-0.788,"[0.0104403065089105, 0.0015176736583776, 0.0090184995056457]",,,,,,0.125,0.0104403065089105,-0.0078,0.0022596681172242,,,,,0.0801666666666666,0.0015176736583776,0.0281333333333333,0.0005686240703077,0.0009266666666666,0.0004452340208624,0.7616666666666667,0.0090184995056457,0.0058233333333333,0.0041236068354455,0.0024133333333333,0.0054168471764794,0.0038333333333333,0.0014888026509021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoft4_240405_Ag-0.2-Pd-0.8_pp0_rep1,uoft,4,240405,Ag-0.205-Pd-0.795,"[0.0178978583448783, 0.0062449979983983]",,,,,,0.1886666666666666,0.0178978583448783,-0.0136733333333333,0.0064146810780687,,,,,-0.00332,0.0033239584834952,0.0468,0.0149709719123375,0.0006233333333333,0.0051369381282368,0.731,0.0062449979983983,0.0150666666666666,0.004193248541803,0.0203766666666666,0.0198352623711745,0.0148066666666666,0.0107591883213062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoft4_240405_Ag-0.222-Cu-0.333-Pd-0.444_pp0_rep1,uoft,4,240405,Ag-0.335-Cu-0.308-Pd-0.357,"[0.0124899959967967, 0.0023094010767585, 0.0089999999999999]",,,,,,0.33,0.0124899959967967,-0.0030666666666666,0.0027041511298988,,,,,0.3026666666666666,0.0023094010767585,0.0051066666666666,0.0012849254193661,0.0005366666666666,0.0022276070868385,0.351,0.0089999999999999,0.0078299999999999,0.0043239912118319,0.0036433333333333,0.0044752355617702,0.0023966666666666,0.0001422439219556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoft4_240405_Ag-0.25-Au-0.25-Pd-0.5_pp0_rep1,uoft,4,240405,Ag-0.243-Au-0.387-Pd-0.37,"[0.0161967074843417, 0.0153948043183406, 0.0085049005481153]",,,,,,0.2336666666666666,0.0161967074843417,0.372,0.0153948043183406,,,,,-0.0007266666666666,0.0017900093109627,0.0078833333333333,0.008001926851286,-0.0012199999999999,0.0031629732847433,0.3563333333333333,0.0085049005481153,0.0143533333333333,0.0076906783402592,0.0099733333333333,0.0173707061840713,0.0074866666666666,0.0113897556309752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoft4_240405_Ag-0.333-Pd-0.667_pp0_rep1,uoft,4,240405,Ag-0.384-Pd-0.616,"[0.0037859388972001, 0.0117189305541646]",,,,,,0.3743333333333333,0.0037859388972001,-0.0065666666666666,0.0024393715037552,,,,,0.0023066666666666,0.0004150100400391,0.0215666666666666,0.0027574142476844,0.0005766666666666,0.0009623062575569,0.5986666666666666,0.0117189305541646,-0.0010266666666666,0.0072090591156775,0.0060233333333333,0.0026535699224503,0.0041633333333333,0.0016389732558322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoft4_240405_Ag-0.4-Pd-0.6_pp0_rep1,uoft,4,240405,Ag-0.407-Pd-0.593,"[0.0045092497528228, 0.0104403065089105]",,,,,,0.3913333333333333,0.0045092497528228,-0.00497,0.0022609953560323,,,,,-0.0009933333333333,0.0003360555509634,0.0182333333333333,0.0003511884584284,0.0016433333333333,0.0008198983676854,0.569,0.0104403065089105,0.01219,0.0067261653265437,0.00801,0.0049310952130333,0.0050066666666666,0.0010557146078999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoft4_240405_Ag-0.429-Pd-0.571_pp0_rep1,uoft,4,240405,Ag-0.566-Pd-0.434,"[0.0017320508075688, 0.0049328828623162]",,,,,,0.5579999999999999,0.0017320508075688,-0.00073,0.0010120770721639,,,,,0.0009666666666666,0.0003429771615331,0.00836,0.0012529565036345,-0.0003266666666666,0.0003801753981168,0.4276666666666666,0.0049328828623162,0.00309,0.0015240406818717,0.0017833333333333,0.0036309824198601,0.0008766666666666,0.0001159022576714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoft4_240405_Ag-0.444-Pd-0.556_pp0_rep1,uoft,4,240405,Ag-0.485-Pd-0.515,"[0.0062449979983983, 0.003]",,,,,,0.473,0.0062449979983983,-0.0056466666666666,0.0097890619230513,,,,,-0.0010733333333333,0.0031532417181899,0.0139999999999999,0.0027622454633866,-0.0012133333333333,0.0020033555184573,0.503,0.003,0.0054933333333333,0.0012528500841414,0.0037733333333333,0.0051213019178069,0.0087966666666666,0.0089014961289287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoft4_240405_Ag-0.5-Au-0.5_pp0_rep1,uoft,4,240405,Ag-0.339-Au-0.661,"[0.0215019378971602, 0.0665507325278993]",,,,,,0.3166666666666666,0.0215019378971602,0.618,0.0665507325278993,,,,,-0.0040433333333333,0.0033927029538899,-0.0056,0.0023154049321878,-0.0019333333333333,0.0107627939371398,-0.0004366666666666,0.0127171943970882,0.0263666666666666,0.0067099428710931,0.024,0.0156703541759591,0.0263466666666666,0.0232141451131273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoft4_240405_Ag-0.5-Cu-0.25-Pd-0.25_pp0_rep1,uoft,4,240405,Ag-0.588-Cu-0.17-Pd-0.242,"[0.0051316014394468, 0.0061101009266077, 0.0005773502691896]",,,,,,0.5786666666666666,0.0051316014394468,-0.0045966666666666,0.0024535144860655,,,,,0.1673333333333333,0.0061101009266077,0.0033,0.0030231771367222,0.0020133333333333,0.0010574655234726,0.2383333333333333,0.0005773502691896,0.0109833333333333,0.0041672332948052,0.0010533333333333,0.005181981602952,0.00307,0.0029402720962523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoft4_240405_Ag-0.5-Pd-0.5_pp0_rep1,uoft,4,240405,Ag-0.515-Pd-0.485,"[0.008386497083606, 0.0075718777944003]",,,,,,0.4883333333333333,0.008386497083606,-0.0055766666666666,0.0025797738919008,,,,,0.0005833333333333,0.0013885363997149,0.0354333333333333,0.0027501515109777,0.0011066666666666,0.0004245389656242,0.4586666666666666,0.0075718777944003,0.00559,0.0022528204544525,0.0077166666666666,0.0018732413975068,0.0082033333333333,0.0035030034732117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoft4_240405_Ag-0.556-Pd-0.444_pp0_rep1,uoft,4,240405,Ag-0.599-Pd-0.401,"[0.009237604307034, 0.0123423390543824]",,,,,,0.5816666666666667,0.009237604307034,-0.0064633333333333,0.0037821995364249,,,,,0.0011666666666666,0.0019579155582744,0.008,0.0030929597475557,0.0008633333333333,0.0017752840148363,0.3896666666666666,0.0123423390543824,0.0059866666666666,0.0037102201192561,0.0105933333333333,0.0058000114942414,0.00845,0.0048451934945882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoft4_240405_Ag-0.625-Pd-0.375_pp0_rep1,uoft,4,240405,Ag-0.68-Pd-0.32,"[0.0170098010962307, 0.0136503968196288]",,,,,,0.6593333333333332,0.0170098010962307,-0.0099966666666666,0.0080476725413832,,,,,-0.0015733333333333,0.0019389773937138,0.0063633333333333,0.0035600187265425,-0.0010866666666666,0.0025303227725595,0.3103333333333333,0.0136503968196288,0.0154466666666666,0.0102893407628153,0.0067633333333333,0.0166311464828295,0.0143733333333333,0.0092416520889575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoft4_240405_Ag-0.667-Pd-0.333_pp0_rep1,uoft,4,240405,Ag-0.661-Pd-0.339,"[0.0041633319989322, 0.005507570547286]",,,,,,0.6446666666666666,0.0041633319989322,-0.00477,0.0011241441188744,,,,,-0.0004933333333333,0.0016937925886404,0.0070833333333333,0.0014358388953268,2.6666666666666663e-05,0.0006467096205665,0.3313333333333333,0.005507570547286,0.0079133333333333,0.0048938771269141,0.0094566666666666,0.0026101021691369,0.00515,0.0013770620901034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoft4_240405_Ag-0.75-Pd-0.25_pp0_rep1,uoft,4,240405,Ag-0.82-Pd-0.18,"[0.0092915732431775, 0.0153079500042733]",,,,,,0.8013333333333333,0.0092915732431775,-0.00636,0.0012586897949852,,,,,0.0014733333333333,0.0026448503423319,0.0163,0.0027073972741361,-0.0011833333333333,0.0026869561465221,0.1763333333333333,0.0153079500042733,-0.0080133333333333,0.0139401052124197,0.0110533333333333,0.0030203531802313,0.0095066666666666,0.0019042408811212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoft4_240405_Ag-0.833-Cu-0.167_pp0_rep1,uoft,4,240405,Ag-0.859-Cu-0.141,"[0.0126622799421484, 0.0191398362932741]",,,,,,0.8396666666666667,0.0126622799421484,-0.0029933333333333,0.008406023633879,,,,,0.1383333333333333,0.0191398362932741,0.0009266666666666,0.0023667769927336,0.0010133333333333,0.0031613499226332,-0.0045166666666666,0.0178136417762717,0.0141666666666666,0.0029160475533388,0.0085833333333333,0.0098163553997058,0.0044933333333333,0.0052994465119796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoft4_240405_Ag-0.833-Pd-0.167_pp0_rep1,uoft,4,240405,Ag-0.831-Pd-0.169,"[0.0075498344352707, 0.0052915026221291]",,,,,,0.819,0.0075498344352707,-0.00521,0.0070724606750409,,,,,0.0012033333333333,0.0010074886269002,0.0035533333333333,0.0003910669166949,-0.0010766666666666,0.0007700865752195,0.167,0.0052915026221291,0.0057633333333333,0.0091624905638878,0.0040766666666666,0.0052878855257402,0.0057633333333333,0.0044617298588477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoft4_240405_Ag-0.889-Cu-0.111_pp0_rep1,uoft,4,240405,Ag-0.934-Cu-0.066,"[0.1438853710423682, 0.009921861384505]",,,,,,0.7919999999999999,0.1438853710423682,-0.0160533333333333,0.0077737078240266,,,,,0.0563333333333333,0.009921861384505,-0.0028366666666666,0.0063925138508518,0.0075399999999999,0.0096160698832735,0.0544033333333333,0.0716596401981849,0.0034166666666666,0.0095246749725821,0.0711333333333333,0.0565283409745353,0.0339033333333333,0.0326766129415723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoft4_240405_Ag-0.889-Hg-0.111_pp0_rep1,uoft,4,240405,Ag-0.984-Hg-0.016,"[0.053, 0.0104576925434501]",,,,,,0.8690000000000001,0.053,-0.0108999999999999,0.0123349746655597,,,,,-0.0033366666666666,0.0103299096478785,0.0144333333333333,0.0104576925434501,0.00227,0.0023175849498993,0.0196566666666666,0.0264415890848741,0.02338,0.0218932683718078,0.0389866666666666,0.0381781944745077,0.0464666666666666,0.0176242257513155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoft4_240405_Ag-1.0_pp0_rep1,uoft,4,240405,Ag-1.0,[0.0170880074906351],,,,,,0.971,0.0170880074906351,0.0026466666666666,0.002004652920915,,,,,9.666666666666664e-05,0.0006361079572944,0.0031599999999999,0.000737360156233,0.0008899999999999,0.0011680753400359,0.00805,0.0067496740662049,0.0065266666666666,0.0037551342630235,0.0064399999999999,0.0048879136653586,0.0009933333333333,0.0006285167725155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoft4_240405_Au-0.2-Cu-0.8_pp0_rep1,uoft,4,240405,Au-0.415-Cu-0.585,"[0.0011547005383792, 0.0015275252316518]",,,,,,0.0079233333333333,0.0005797700693665,0.4096666666666667,0.0011547005383792,,,,,0.5776666666666667,0.0015275252316518,-0.0008966666666666,0.0013219808369765,0.0009733333333333,0.0008476044675043,0.0013866666666666,0.0059223672068973,0.00233,0.0010776363022838,-0.0008133333333333,0.0012599338606979,0.0014633333333333,0.0007148659548008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoft4_240405_Au-0.25-Cu-0.75_pp0_rep1,uoft,4,240405,Au-0.466-Cu-0.534,"[0.0167431578064991, 0.0032145502536643]",,,,,,0.0186466666666666,0.0130286811816596,0.4446666666666667,0.0167431578064991,,,,,0.5103333333333333,0.0032145502536643,-0.00207,0.0021774296773948,0.0020166666666666,0.0004285246006162,0.0087133333333333,0.0062472180475259,0.00682,0.0029986163475843,0.0057399999999999,0.0023622870274376,0.0049533333333333,0.0033953841216176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoft4_240405_Au-0.333-Tl-0.667_pp0_rep1,uoft,4,240405,Au-0.347-Tl-0.653,"[0.1682914139223983, 0.2418305191657992]",,,,,,0.06515,0.0127986327394765,0.297,0.1682914139223983,,,,,0.008485,0.0120420284836069,-0.0211,0.0052325901807804,-0.0011499999999999,0.0017111984104714,0.042585,0.0543270139985624,0.0366999999999999,0.0053740115370177,0.012535,0.0105571042431151,0.56,0.2418305191657992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoft4_240405_Au-0.429-Cu-0.571_pp0_rep1,uoft,4,240405,Au-0.629-Cu-0.371,"[0.0306431068920891, 0.0228108161479008]",,,,,,0.0418666666666666,0.0008082903768654,0.5640000000000001,0.0306431068920891,,,,,0.3326666666666666,0.0228108161479008,-0.0088499999999999,0.0079500251571929,-0.0021433333333333,0.002827902638588,0.0230033333333333,0.0377564197631784,0.0203999999999999,0.007175653280364,0.0196633333333333,0.0176532442721821,0.0096333333333333,0.0109146201644094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoft4_240405_Au-0.5-Cu-0.5_pp0_rep1,uoft,4,240405,Au-0.706-Cu-0.294,"[0.0225462487641144, 0.0135769412362775]",,,,,,0.0320666666666666,0.0128818994458633,0.6353333333333334,0.0225462487641144,,,,,0.2646666666666666,0.0135769412362775,-0.00423,0.0028302120061931,-0.0030366666666666,0.0019814725164213,0.0200333333333333,0.0075500551874362,0.01423,0.0237080302851164,0.0251333333333333,0.0097572195493046,0.0157666666666666,0.0027061657993059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoft4_240405_Au-0.5-Pd-0.5_pp0_rep1,uoft,4,240405,Au-0.642-Pd-0.358,"[0.0111355287256599, 0.0216333076527839]",,,,,,0.0012266666666666,0.0173797621771223,0.6389999999999999,0.0111355287256599,,,,,0.0006399999999999,0.0012318684994754,0.0070333333333333,0.0022100075414652,0.00121,0.0012857293649909,0.356,0.0216333076527839,-0.0057166666666666,0.0034070710784093,-0.00192,0.0036228165838198,0.0023333333333333,0.0023208044582285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
