xrd dir,sample id,source,batch number,batch date,target comp,xrf comp,xrf offset,xrf stdev,allsolutions_cifids,allsolutions_formulas,allsolutions_weights,allsolutions_rwp,total no of solutions,solutions_target_cifids,solutions_target_qrankings,solutions_target_qscore,solutions_target_formulas,solutions_target_rwp,solutions_target_wt,solutions_target_rankings
vsp1_240503\/raw\/vsp1_240503_Ag-0.417-Au-0.583_pp0_rep1.xy,vsp1_240503_Ag-0.417-Au-0.583_pp0_rep1,vsp,1,240503,Ag-0.417-Au-0.583,Ag-0.45-Au-0.55,"[-0.033, 0.033]","[0.01, 0.01, 0]","[['cod-1509205'], ['dcgat-agm003194877', 'dcgat-agm003157171', 'mp-2646971'], ['dcgat-agm003194878', 'dcgat-agm003157171'], ['dcgat-agm003194886', 'dcgat-agm003157171', 'mp-2646971'], ['dcgat-agm003172256', 'dcgat-agm003157171']]","[['Ag-0.5-Au-0.5'], ['Ag-0.2-Au-0.8', 'Au-1.0', 'Ag-1.0'], ['Ag-0.2-Au-0.8', 'Au-1.0'], ['Ag-0.8-Au-0.2', 'Au-1.0', 'Ag-1.0'], ['Ag-0.25-Au-0.75', 'Au-1.0']]","[[1.0], [0.0, 0.0, 1.0], [1.0, 0.0], [0.0, 0.0, 1.0], [0.0, 1.0]]","[34.8, 43.8, 44.0, 45.3, 46.7]",5,[],[0],0.0,[],[],[],[]
vsp1_240503\/raw\/vsp1_240503_Ag-0.429-Au-0.571_pp0_rep1.xy,vsp1_240503_Ag-0.429-Au-0.571_pp0_rep1,vsp,1,240503,Ag-0.429-Au-0.571,Ag-0.48-Au-0.52,"[-0.051, 0.051]","[0.01, 0.01, 0]","[['cod-1509205'], ['dcgat-agm003194877', 'dcgat-agm003157171', 'mp-2646971'], ['dcgat-agm003172256', 'dcgat-agm003157171'], ['dcgat-agm003194878', 'dcgat-agm003157171']]","[['Ag-0.5-Au-0.5'], ['Ag-0.2-Au-0.8', 'Au-1.0', 'Ag-1.0'], ['Ag-0.25-Au-0.75', 'Au-1.0'], ['Ag-0.2-Au-0.8', 'Au-1.0']]","[[1.0], [0.0, 0.93, 0.07], [0.0, 1.0], [0.0, 1.0]]","[35.5, 45.8, 46.3, 48.0]",4,[],[0],0.0,[],[],[],[]
vsp1_240503\/raw\/vsp1_240503_Ag-0.444-Au-0.556_pp0_rep1.xy,vsp1_240503_Ag-0.444-Au-0.556_pp0_rep1,vsp,1,240503,Ag-0.444-Au-0.556,Ag-0.49-Au-0.51,"[-0.046, 0.046]","[0.01, 0.01, 0]","[['cod-1509205'], ['dcgat-agm003194878', 'dcgat-agm003157171'], ['dcgat-agm003194886', 'dcgat-agm003157171', 'mp-2646971']]","[['Ag-0.5-Au-0.5'], ['Ag-0.2-Au-0.8', 'Au-1.0'], ['Ag-0.8-Au-0.2', 'Au-1.0', 'Ag-1.0']]","[[1.0], [0.0, 1.0], [0.0, 0.0, 1.0]]","[34.6, 47.7, 48.5]",3,[['cod-1509205']],[100.0],100.0,[['Ag-0.5-Au-0.5']],[34.6],[[1.0]],[1]
vsp1_240503\/raw\/vsp1_240503_Ag-0.5-Au-0.5_pp0_rep1.xy,vsp1_240503_Ag-0.5-Au-0.5_pp0_rep1,vsp,1,240503,Ag-0.5-Au-0.5,Ag-0.53-Au-0.47,"[-0.03, 0.03]","[0.01, 0.01, 0]","[['cod-1509205'], ['dcgat-agm003194878', 'dcgat-agm003157171']]","[['Ag-0.5-Au-0.5'], ['Ag-0.2-Au-0.8', 'Au-1.0']]","[[1.0], [0.0, 1.0]]","[34.7, 47.6]",2,[],[0],0.0,[],[],[],[]
vsp1_240503\/raw\/vsp1_240503_Ag-0.556-Au-0.444_pp0_rep1.xy,vsp1_240503_Ag-0.556-Au-0.444_pp0_rep1,vsp,1,240503,Ag-0.556-Au-0.444,Ag-0.58-Au-0.42,"[-0.024, 0.024]","[0.0, 0.0, 0]","[['cod-1509205'], ['dcgat-agm003194877', 'dcgat-agm003157171', 'mp-2646971'], ['dcgat-agm003194886', 'dcgat-agm003157171', 'mp-2646971'], ['dcgat-agm003194878', 'dcgat-agm003157171']]","[['Ag-0.5-Au-0.5'], ['Ag-0.2-Au-0.8', 'Au-1.0', 'Ag-1.0'], ['Ag-0.8-Au-0.2', 'Au-1.0', 'Ag-1.0'], ['Ag-0.2-Au-0.8', 'Au-1.0']]","[[1.0], [0.0, 0.0, 1.0], [0.0, 0.0, 1.0], [0.0, 1.0]]","[31.4, 44.9, 46.9, 47.5]",4,[],[0],0.0,[],[],[],[]
vsp1_240503\/raw\/vsp1_240503_Ag-0.583-Au-0.417_pp0_rep1.xy,vsp1_240503_Ag-0.583-Au-0.417_pp0_rep1,vsp,1,240503,Ag-0.583-Au-0.417,Ag-0.61-Au-0.39,"[-0.027, 0.027]","[0.01, 0.01, 0]","[['cod-1509205'], ['dcgat-agm003194878', 'dcgat-agm003157171'], ['cod-1509684', 'dcgat-agm003157171', 'mp-2646971']]","[['Ag-0.5-Au-0.5'], ['Ag-0.2-Au-0.8', 'Au-1.0'], ['Ag-0.667-O-0.333', 'Au-1.0', 'Ag-1.0']]","[[1.0], [0.0, 1.0], [0.02, 0.01, 0.97]]","[35.0, 47.5, 47.9]",3,[],[0],0.0,[],[],[],[]
vsp1_240503\/raw\/vsp1_240503_Ag-0.6-Au-0.4_pp0_rep1.xy,vsp1_240503_Ag-0.6-Au-0.4_pp0_rep1,vsp,1,240503,Ag-0.6-Au-0.4,Ag-0.604-Au-0.396,"[-0.004, 0.004]","[0.01, 0.01, 0]","[['cod-1509205'], ['dcgat-agm003194878', 'dcgat-agm003157171'], ['dcgat-agm003172256', 'dcgat-agm003157171']]","[['Ag-0.5-Au-0.5'], ['Ag-0.2-Au-0.8', 'Au-1.0'], ['Ag-0.25-Au-0.75', 'Au-1.0']]","[[1.0], [0.0, 1.0], [0.0, 1.0]]","[32.6, 43.5, 43.8]",3,[],[0],0.0,[],[],[],[]
vsp1_240503\/raw\/vsp1_240503_Ag-0.615-Au-0.385_pp0_rep1.xy,vsp1_240503_Ag-0.615-Au-0.385_pp0_rep1,vsp,1,240503,Ag-0.615-Au-0.385,Ag-0.64-Au-0.36,"[-0.025, 0.025]","[0.01, 0.01, 0]","[['cod-1509205'], ['dcgat-agm003194878', 'dcgat-agm003157171']]","[['Ag-0.5-Au-0.5'], ['Ag-0.2-Au-0.8', 'Au-1.0']]","[[1.0], [1.0, 0.0]]","[31.2, 45.9]",2,[],[0],0.0,[],[],[],[]
vsp1_240503\/raw\/vsp1_240503_Ag-0.625-Au-0.375_pp0_rep1.xy,vsp1_240503_Ag-0.625-Au-0.375_pp0_rep1,vsp,1,240503,Ag-0.625-Au-0.375,Ag-0.65-Au-0.35,"[-0.025, 0.025]","[0.0, 0.0, 0]","[['cod-1509205'], ['dcgat-agm003194878', 'dcgat-agm003157171'], ['dcgat-agm003194886', 'dcgat-agm003157171', 'mp-2646971']]","[['Ag-0.5-Au-0.5'], ['Ag-0.2-Au-0.8', 'Au-1.0'], ['Ag-0.8-Au-0.2', 'Au-1.0', 'Ag-1.0']]","[[1.0], [0.0, 1.0], [0.0, 0.03, 0.97]]","[33.1, 46.7, 47.6]",3,[],[0],0.0,[],[],[],[]
vsp1_240503\/raw\/vsp1_240503_Ag-0.667-Au-0.333_pp0_rep1.xy,vsp1_240503_Ag-0.667-Au-0.333_pp0_rep1,vsp,1,240503,Ag-0.667-Au-0.333,Ag-0.68-Au-0.32,"[-0.013, 0.013]","[0.01, 0.01, 0]","[['cod-1509205'], ['dcgat-agm003194878', 'dcgat-agm003157171']]","[['Ag-0.5-Au-0.5'], ['Ag-0.2-Au-0.8', 'Au-1.0']]","[[1.0], [0.0, 1.0]]","[31.7, 46.6]",2,[],[0],0.0,[],[],[],[]
vsp1_240503\/raw\/vsp1_240503_Ag-0.7-Au-0.3_pp0_rep1.xy,vsp1_240503_Ag-0.7-Au-0.3_pp0_rep1,vsp,1,240503,Ag-0.7-Au-0.3,Ag-0.71-Au-0.29,"[-0.01, 0.01]","[0.01, 0.01, 0]","[['cod-1509205'], ['dcgat-agm003194878', 'dcgat-agm003157171']]","[['Ag-0.5-Au-0.5'], ['Ag-0.2-Au-0.8', 'Au-1.0']]","[[1.0], [0.0, 1.0]]","[35.5, 47.9]",2,[],[0],0.0,[],[],[],[]
vsp1_240503\/raw\/vsp1_240503_Ag-0.714-Au-0.286_pp0_rep1.xy,vsp1_240503_Ag-0.714-Au-0.286_pp0_rep1,vsp,1,240503,Ag-0.714-Au-0.286,Ag-0.72-Au-0.28,"[-0.006, 0.006]","[0.01, 0.01, 0]","[['cod-1509205'], ['dcgat-agm003194878', 'dcgat-agm003157171']]","[['Ag-0.5-Au-0.5'], ['Ag-0.2-Au-0.8', 'Au-1.0']]","[[1.0], [0.0, 1.0]]","[31.5, 46.4]",2,[],[0],0.0,[],[],[],[]
vsp1_240503\/raw\/vsp1_240503_Ag-0.75-Au-0.25_pp0_rep1.xy,vsp1_240503_Ag-0.75-Au-0.25_pp0_rep1,vsp,1,240503,Ag-0.75-Au-0.25,Ag-0.77-Au-0.23,"[-0.02, 0.02]","[0.01, 0.01, 0]","[['cod-1509205'], ['dcgat-agm003194878', 'dcgat-agm003157171'], ['dcgat-agm003172256', 'dcgat-agm003157171'], ['mp-81'], ['cod-1509684', 'dcgat-agm003157171', 'mp-2646971']]","[['Ag-0.5-Au-0.5'], ['Ag-0.2-Au-0.8', 'Au-1.0'], ['Ag-0.25-Au-0.75', 'Au-1.0'], ['Au-1.0'], ['Ag-0.667-O-0.333', 'Au-1.0', 'Ag-1.0']]","[[1.0], [0.0, 1.0], [0.0, 1.0], [1.0], [0.03, 0.01, 0.96]]","[29.7, 46.8, 47.3, 47.9, 48.4]",5,[],[0],0.0,[],[],[],[]
vsp1_240503\/raw\/vsp1_240503_Ag-0.778-Au-0.222_pp0_rep1.xy,vsp1_240503_Ag-0.778-Au-0.222_pp0_rep1,vsp,1,240503,Ag-0.778-Au-0.222,Ag-0.81-Au-0.19,"[-0.032, 0.032]","[0.01, 0.01, 0]","[['cod-1509205'], ['dcgat-agm003194878', 'dcgat-agm003157171'], ['dcgat-agm003172256', 'dcgat-agm003157171']]","[['Ag-0.5-Au-0.5'], ['Ag-0.2-Au-0.8', 'Au-1.0'], ['Ag-0.25-Au-0.75', 'Au-1.0']]","[[1.0], [0.0, 1.0], [0.0, 1.0]]","[29.8, 44.7, 46.9]",3,[],[0],0.0,[],[],[],[]
vsp1_240503\/raw\/vsp1_240503_Ag-1.0_pp0_rep1.xy,vsp1_240503_Ag-1.0_pp0_rep1,vsp,1,240503,Ag-1.0,Ag-1.0,[0.0],"[0.0, 0]","[['mp-754338', 'mp-124', 'mp-2646971'], ['mp-989737', 'mp-124', 'mp-2646971'], ['oqmd-1376304', 'mp-2646971', 'mp-124'], ['oqmd-1343673', 'mp-2646971', 'mp-124']]","[['Ag-0.667-O-0.333', 'Ag-1.0', 'Ag-1.0'], ['Ag-1.0', 'Ag-1.0', 'Ag-1.0'], ['Ag-0.2-O-0.8', 'Ag-1.0', 'Ag-1.0'], ['Ag-0.667-O-0.333', 'Ag-1.0', 'Ag-1.0']]","[[0.0, 0.0, 1.0], [0.0, 0.0, 1.0], [0.0, 1.0, 0.0], [0.01, 0.99, 0.0]]","[46.1, 47.1, 47.4, 48.8]",4,"[['mp-2646971'], ['mp-2646971']]","[93.71, 87.37]",93.71,"[['Ag-1.0'], ['Ag-1.0']]","[47.4, 48.8]","[[1.0], [0.99]]","[3, 4]"
uoft4_240405\/raw\/uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1.xy,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,Ag-0.129-Cu-0.083-Pd-0.788,"[-0.004, 0.042, -0.038]","[0.01, 0.0, 0.01]","[['cod-1509119'], ['dcgat-agm003765808'], ['mp-989782', 'mp-1186427']]","[['Ag-0.099-Pd-0.901'], ['Ag-0.125-Cu-0.125-Pd-0.75'], ['Cu-1.0', 'Pd-1.0']]","[[1.0], [1.0], [0.94, 0.06]]","[29.3, 31.9, 46.3]",3,[],[0],0.0,[],[],[],[]
uoft4_240405\/raw\/uoft4_240405_Ag-0.2-Pd-0.8_pp0_rep1.xy,uoft4_240405_Ag-0.2-Pd-0.8_pp0_rep1,uoft,4,240405,Ag-0.2-Pd-0.8,Ag-0.205-Pd-0.795,"[-0.005, 0.005]","[0.02, 0.01]","[['dcgat-agm002179513', 'cod-1509119'], ['dcgat-agm001851501', 'cod-1509119'], ['dcgat-agm003298644', 'mp-2646977', 'mp-2646971'], ['mp-124', 'cod-1509119'], ['dcgat-agm003299726'], ['cod-1509510'], ['mp-1056438'], ['oqmd-343039'], ['cod-1509119'], ['dcgat-agm003300116', 'cod-1509119'], ['oqmd-305875', 'mp-2646977', 'mp-2646971'], ['dcgat-agm003292062', 'mp-2646977', 'mp-2646971']]","[['Ag-0.25-Pd-0.75', 'Ag-0.099-Pd-0.901'], ['Ag-0.333-Pd-0.667', 'Ag-0.099-Pd-0.901'], ['Ag-0.167-Pd-0.833', 'Pd-1.0', 'Ag-1.0'], ['Ag-1.0', 'Ag-0.099-Pd-0.901'], ['Ag-0.125-Pd-0.875'], ['Ag-0.49-Pd-0.51'], ['Pd-1.0'], ['Ag-0.75-Pd-0.25'], ['Ag-0.099-Pd-0.901'], ['Ag-0.111-Pd-0.889', 'Ag-0.099-Pd-0.901'], ['Ag-0.5-Pd-0.5', 'Pd-1.0', 'Ag-1.0'], ['Ag-0.556-Pd-0.444', 'Pd-1.0', 'Ag-1.0']]","[[0.06, 0.94], [0.07, 0.93], [0.98, 0.02, 0.0], [0.01, 0.99], [1.0], [1.0], [1.0], [1.0], [1.0], [0.08, 0.92], [0.96, 0.02, 0.02], [0.0, 1.0, 0.0]]","[28.1, 28.1, 30.2, 30.3, 30.4, 30.5, 30.5, 30.5, 30.6, 34.5, 46.9, 48.7]",12,[],[0],0.0,[],[],[],[]
uoft4_240405\/raw\/uoft4_240405_Ag-0.222-Cu-0.333-Pd-0.444_pp0_rep1.xy,uoft4_240405_Ag-0.222-Cu-0.333-Pd-0.444_pp0_rep1,uoft,4,240405,Ag-0.222-Cu-0.333-Pd-0.444,Ag-0.335-Cu-0.308-Pd-0.357,"[-0.113, 0.025, 0.087]","[0.01, 0.0, 0.01]",,,,,0,[],[0],0.0,[],[],[],[]
uoft4_240405\/raw\/uoft4_240405_Ag-0.25-Au-0.25-Pd-0.5_pp0_rep1.xy,uoft4_240405_Ag-0.25-Au-0.25-Pd-0.5_pp0_rep1,uoft,4,240405,Ag-0.25-Au-0.25-Pd-0.5,Ag-0.243-Au-0.387-Pd-0.37,"[0.007, -0.137, 0.13]","[0.02, 0.02, 0.01]","[['dcgat-agm002126400', 'cod-1509119', 'cod-1509510'], ['cod-1509205', 'cod-1509119', 'cod-1509510'], ['dcgat-agm003292062', 'cod-1509119', 'cod-1509510'], ['oqmd-305875', 'cod-1509119', 'cod-1509510'], ['mp-124', 'cod-1509119', 'cod-1509510'], ['mp-81', 'cod-1509119', 'cod-1509510'], ['dcgat-agm003300116'], ['cod-1509119', 'cod-1509510'], ['dcgat-agm002179513'], ['cod-1510338'], ['mp-1056438'], ['cod-1510274'], ['oqmd-343039'], ['cod-1509077'], ['cod-1509510'], ['dcgat-agm003299726'], ['dcgat-agm001415907']]","[['Ag-0.5-Pd-0.5', 'Ag-0.099-Pd-0.901', 'Ag-0.49-Pd-0.51'], ['Ag-0.5-Au-0.5', 'Ag-0.099-Pd-0.901', 'Ag-0.49-Pd-0.51'], ['Ag-0.556-Pd-0.444', 'Ag-0.099-Pd-0.901', 'Ag-0.49-Pd-0.51'], ['Ag-0.5-Pd-0.5', 'Ag-0.099-Pd-0.901', 'Ag-0.49-Pd-0.51'], ['Ag-1.0', 'Ag-0.099-Pd-0.901', 'Ag-0.49-Pd-0.51'], ['Au-1.0', 'Ag-0.099-Pd-0.901', 'Ag-0.49-Pd-0.51'], ['Ag-0.111-Pd-0.889'], ['Ag-0.099-Pd-0.901', 'Ag-0.49-Pd-0.51'], ['Ag-0.25-Pd-0.75'], ['Au-0.55-Pd-0.45'], ['Pd-1.0'], ['Au-0.5-Pd-0.5'], ['Ag-0.75-Pd-0.25'], ['Ag-0.25-Au-0.25-Pd-0.5'], ['Ag-0.49-Pd-0.51'], ['Ag-0.125-Pd-0.875'], ['Ag-0.75-Pd-0.25']]","[[0.04, 0.04, 0.92], [0.03, 0.04, 0.93], [0.03, 0.04, 0.93], [0.04, 0.0, 0.96], [0.01, 0.04, 0.96], [0.0, 0.04, 0.96], [1.0], [0.03, 0.97], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[18.9, 19.2, 19.9, 21.4, 21.6, 21.7, 21.9, 21.9, 22.1, 22.1, 22.5, 22.5, 22.5, 22.6, 22.6, 22.9, 46.7]",17,[],[0],0.0,[],[],[],[]
uoft4_240405\/raw\/uoft4_240405_Ag-0.333-Pd-0.667_pp0_rep1.xy,uoft4_240405_Ag-0.333-Pd-0.667_pp0_rep1,uoft,4,240405,Ag-0.333-Pd-0.667,Ag-0.384-Pd-0.616,"[-0.051, 0.051]","[0.0, 0.01]","[['dcgat-agm001851501', 'cod-1509119', 'mp-2646977'], ['dcgat-agm002179513', 'cod-1509119', 'mp-2646977'], ['cod-1509119', 'mp-2646977', 'mp-2646971'], ['dcgat-agm003292062', 'cod-1509119', 'mp-2646977'], ['mp-124', 'cod-1509119', 'mp-2646977'], ['mp-1056438'], ['cod-1509510'], ['oqmd-343039'], ['dcgat-agm003299726'], ['dcgat-agm003298644'], ['dcgat-agm001280692', 'mp-2646977', 'mp-2646971'], ['dcgat-agm001851501'], ['cod-7109246', 'cod-1509119', 'mp-2646977'], ['oqmd-305875', 'mp-2646977', 'mp-2646971'], ['dcgat-agm001415907', 'mp-2646977', 'mp-2646971']]","[['Ag-0.333-Pd-0.667', 'Ag-0.099-Pd-0.901', 'Pd-1.0'], ['Ag-0.25-Pd-0.75', 'Ag-0.099-Pd-0.901', 'Pd-1.0'], ['Ag-0.099-Pd-0.901', 'Pd-1.0', 'Ag-1.0'], ['Ag-0.556-Pd-0.444', 'Ag-0.099-Pd-0.901', 'Pd-1.0'], ['Ag-1.0', 'Ag-0.099-Pd-0.901', 'Pd-1.0'], ['Pd-1.0'], ['Ag-0.49-Pd-0.51'], ['Ag-0.75-Pd-0.25'], ['Ag-0.125-Pd-0.875'], ['Ag-0.167-Pd-0.833'], ['Ag-0.25-Pd-0.75', 'Pd-1.0', 'Ag-1.0'], ['Ag-0.333-Pd-0.667'], ['Ag-0.5-O-0.5', 'Ag-0.099-Pd-0.901', 'Pd-1.0'], ['Ag-0.5-Pd-0.5', 'Pd-1.0', 'Ag-1.0'], ['Ag-0.75-Pd-0.25', 'Pd-1.0', 'Ag-1.0']]","[[0.04, 0.9, 0.07], [0.03, 0.9, 0.07], [0.92, 0.07, 0.01], [0.01, 0.92, 0.07], [0.0, 0.93, 0.07], [1.0], [1.0], [1.0], [1.0], [1.0], [0.95, 0.01, 0.05], [1.0], [0.0, 0.94, 0.06], [0.9, 0.09, 0.0], [0.97, 0.0, 0.03]]","[21.5, 21.6, 22.7, 23.0, 23.3, 23.7, 23.7, 23.7, 23.7, 24.2, 26.5, 29.6, 40.2, 43.7, 49.9]",15,[],[0],0.0,[],[],[],[]
