Name,Eads_CO2/eV,Eads_H2O/eV
ja5131269_si_002_0.16_0,-0.8113987,-0.73355957
KUXLUL_0.12_0,-0.56202122,-0.48546246
MAKXAZ_0.16_1,-0.61861135,-0.54754743
VEMMAC_0.08_0,-0.56609691,-0.49733125
NIGDEO_0.14_1,-0.85953248,-0.79132029
NAYPIM_0.04_0,-0.58416259,-0.51865728
CODFUX_0.06_0,-0.68113421,-0.61965516
IRELAU_0.12_0,-0.56118711,-0.50526581
YOFGOR_0.03_1,-0.53577603,-0.48057328
IFEPUG_SL_0.12_0,-0.51821805,-0.46405443
UQOYOP_0.08_0,-0.63495974,-0.5838503
NUNCEG_0.12_0,-0.57512485,-0.52414056
SETSIV_0.12_0,-0.96273173,-0.9140804
NEJSOM_0.04_1,-0.65237996,-0.60627639
CUIMDZ01_clean_h_0.04_0,-0.61814085,-0.57333173
IWAYEK_0.04_0,-0.89927134,-0.85541696
ZOMNEW_0.12_0,-0.68878594,-0.64502653
UZUNAF01_0.04_1,-0.50763403,-0.46412581
LUFQUZ_0.03_0,-0.58089724,-0.5380945
MOYYIJ_0.16_0,-0.63153606,-0.59046136
QOVDEL_0.05_0,-0.53479027,-0.49633014
DITYEM_0.08_1,-0.96815213,-0.93769982
OHAKIS_0.06_0,-0.55122504,-0.52169581
QATPOR_0.03_0,-0.57643246,-0.54721553
MUVHAN_0.12_0,-0.62078374,-0.59203091
LOXWEC_0.04_0,-0.59174714,-0.56412597
EQOXIT_0.08_0,-0.68851016,-0.66218255
KIRFIA_0.08_0,-0.64598235,-0.62169302
REYPIW_0.1_1,-0.71237463,-0.68875817
UXUPIN_0.06_0,-0.60821826,-0.58534893
CAXVUU_0.11_0,-0.76928464,-0.74809568
PIZRAT_0.12_1,-0.61040197,-0.59071242
HIFTOG02_0.08_0,-0.5816609,-0.56340107
KOSKIO01_0.16_0,-0.67061328,-0.65379938
BIMDEF_0.12_0,-0.6703077,-0.6593383
MUNDAC_0.12_0,-0.83536704,-0.82608708
KEDJAG22_0.08_0,-0.52772639,-0.52139713
VUMBOW_0.06_0,-0.98511837,-0.97933336
LOBHAM_0.06_0,-0.88830052,-0.88325396
PORVUO_0.12_0,-0.5550393,-0.55023004
NIRKAB_0.11_0,-0.50738792,-0.50383011
MAQRAA_0.04_0,-0.99009225,-0.98779323
RAPYUE_0.08_1,-0.68235803,-0.68042086
QOPCEE_0.08_0,-0.59902924,-0.59722728
GAGQAI_0.12_0,-0.79144092,-0.79004431
QOFKUT_0.06_0,-0.51752448,-0.51653651
