,bulk_id,slab_comp,predicted_voltage_she
11043,dcgat-agm003198763,Se-0.667-Tl-0.333,-1.0832569485106642
16398,dcgat-agm003639147,Hg-0.4-Pd-0.5-Pt-0.1,-1.08355960989844
5667,dcgat-agm002265860,Au-0.5-Cr-0.25-Pd-0.25,-1.0850030094357974
20534,mp-977425,Cr-0.25-Ru-0.25-Ta-0.5,-1.085159897781541
20266,mp-820,Hg-0.5-Se-0.5,-1.0864731295552517
4827,dcgat-agm002154148,H-0.333-Pd-0.667,-1.086670425934666
10538,dcgat-agm003194131,Au-0.8-Mn-0.2,-1.0898848912110166
20463,mp-9385,Au-0.5-Rb-0.167-Se-0.333,-1.092677843219147
20571,mp-9888,Ir-0.273-Se-0.727,-1.0928026690902142
23315,oqmd-468046,Ag-0.25-Au-0.25-Pd-0.5,-1.0945795032911656
10758,dcgat-agm003196105,Au-0.333-Se-0.667,-1.0957893250739263
7632,dcgat-agm003143322,Cd-0.25-Hg-0.25-Se-0.5,-1.0964584840318365
16385,dcgat-agm003639058,Au-0.5-Pd-0.4-Pt-0.1,-1.0977112710896941
23346,oqmd-473372,Mn-0.5-Rh-0.25-Ru-0.25,-1.0984480487128012
20589,mp-999298,Au-0.25-Pd-0.75,-1.0984700822523035
20305,mp-863720,Hg-0.25-Pd-0.75,-1.098614538983537
5102,dcgat-agm002185495,Cd-0.143-Se-0.571-Tl-0.286,-1.0987438907439677
19615,mp-2142,Os-0.333-Te-0.667,-1.0988606178948062
5058,dcgat-agm002183071,Cd-0.5-S-0.5,-1.099625275900169
7634,dcgat-agm003143326,Cd-0.25-Hg-0.25-Se-0.5,-1.1001343643723889
22989,oqmd-1754148,Cu-0.5-Se-0.5,-1.1003774028270104
11179,dcgat-agm003201421,Pd-0.333-Se-0.667,-1.1008426770400068
2176,dcgat-agm001611215,Ag-0.2-Au-0.2-H-0.2-Pt-0.4,-1.1008489674574977
23716,oqmd-898778,Mn-0.333-Pd-0.333-Sb-0.333,-1.1008909659194313
5103,dcgat-agm002185497,Ag-0.5-Se-0.5,-1.102193028484593
23082,oqmd-305875,Ag-0.5-Pd-0.5,-1.1022628787170587
20205,mp-680646,Ni-0.5-Sn-0.5,-1.1024006841197234
20186,mp-673255,Cu-0.529-Se-0.471,-1.1028590765926163
20056,mp-569388,Ir-0.333-Te-0.667,-1.1033152890633526
15564,dcgat-agm003558910,Ag-0.5-Se-0.375-Tl-0.125,-1.1036976969730747
23215,oqmd-349389,Pd-0.25-Pt-0.75,-1.1046490600924916
20021,mp-5676,Mn-0.333-Pt-0.333-Sb-0.333,-1.1059961942767793
7386,dcgat-agm003077170,Au-0.2-H-0.2-Pd-0.6,-1.1060226112871363
20410,mp-866134,Fe-0.75-V-0.25,-1.106506421039605
18179,mp-1025370,In-0.143-Pt-0.714-Si-0.143,-1.1066079455229993
22933,oqmd-1736043,Ag-0.333-Se-0.667,-1.1073523447551774
3537,dcgat-agm001664256,H-0.2-Ir-0.4-Pd-0.2-Zr-0.2,-1.1082513876090494
20906,oqmd-1105090,Se-0.5-Tl-0.5,-1.1083800874649787
18171,mp-1025324,Pt-0.714-Si-0.143-Sn-0.143,-1.1087879823335207
18193,mp-1025649,Mo-0.222-Te-0.667-W-0.111,-1.1092123070157807
6576,dcgat-agm002494264,Au-0.2-H-0.2-Pd-0.6,-1.1103283047229877
23101,oqmd-309045,Fe-0.75-Ir-0.25,-1.110539079334817
23035,oqmd-297717,Co-0.75-Ni-0.25,-1.1106502631585977
3439,dcgat-agm001651509,Cu-0.2-H-0.2-Pt-0.4-Zn-0.2,-1.1107177666687411
23091,oqmd-307354,Au-0.5-Pd-0.5,-1.1107749837817602
19020,mp-1219761,Pt-0.2-Rh-0.133-Se-0.667,-1.1111438493756878
22563,oqmd-1625926,Co-0.625-Mo-0.25-Os-0.125,-1.111874698028171
12906,dcgat-agm003292803,Se-0.455-Tl-0.545,-1.112081422711063
21291,oqmd-1367159,Ag-0.167-Au-0.167-Se-0.667,-1.1121876669417228
5894,dcgat-agm002315309,Pd-0.333-Se-0.667,-1.1122945642361102
2173,dcgat-agm001611205,Au-0.2-H-0.2-Pd-0.4-Pt-0.2,-1.1131541178262414
19573,mp-20828,Pb-0.25-Pt-0.75,-1.1134343034220993
3779,dcgat-agm002018274,Ag-0.333-Au-0.333-Se-0.333,-1.114405717430901
19320,mp-1229032,Ag-0.2-Pt-0.8,-1.114518750138613
20564,mp-983,Rh-0.333-Se-0.667,-1.1147255111860597
5691,dcgat-agm002268684,Cu-0.333-Se-0.667,-1.115270163638121
3803,dcgat-agm002019672,Se-1.0,-1.1154866719643413
5219,dcgat-agm002193869,Se-0.571-Tl-0.286-Zn-0.143,-1.115631083098732
18451,mp-1103512,Ir-0.333-Te-0.667,-1.115842344119332
457,dcgat-agm001133280,Ag-0.25-Au-0.25-Pd-0.5,-1.115994019637761
2203,dcgat-agm001612208,Cd-0.2-H-0.2-Pd-0.2-Pt-0.4,-1.116014278923259
18235,mp-1030,Pt-0.875-Sb-0.125,-1.1175160161443078
10749,dcgat-agm003196075,Au-0.667-Pt-0.333,-1.1176064899080447
6685,dcgat-agm002888614,Cd-0.25-Hg-0.25-Se-0.5,-1.117798088042322
807,dcgat-agm001192687,Pd-0.167-Pt-0.833,-1.1178978919743296
18935,mp-1217357,Ir-0.273-Te-0.727,-1.1179213949149216
19172,mp-1224413,H-0.429-Pd-0.571,-1.1180588727494847
1043,dcgat-agm001215614,Mn-0.25-Pd-0.5-Zn-0.25,-1.118529123672789
7047,dcgat-agm003061770,Cu-0.25-Hg-0.25-Se-0.5,-1.1187028670833672
5060,dcgat-agm002183073,Cd-0.5-S-0.5,-1.1187311437486844
23154,oqmd-322981,Mn-0.25-Ni-0.75,-1.1187899037777966
5104,dcgat-agm002185499,Ag-0.5-Se-0.5,-1.1189379728563704
5027,dcgat-agm002180055,Au-0.75-Pt-0.25,-1.119232297574373
13257,dcgat-agm003299808,Pd-0.875-Tl-0.125,-1.1194178977316827
11281,dcgat-agm003203409,As-0.333-Pt-0.667,-1.1197599959138946
2177,dcgat-agm001611216,Au-0.2-Cd-0.2-H-0.2-Pt-0.4,-1.1198804917707714
19918,mp-381,Ru-0.5-Si-0.5,-1.1199860488230717
15544,dcgat-agm003556772,In-0.125-Se-0.5-Tl-0.375,-1.1201249562986892
21317,oqmd-1368161,Cu-0.333-Se-0.5-Tl-0.167,-1.120137612065483
21863,oqmd-1494871,Mn-0.375-Pd-0.25-Pt-0.375,-1.1204996555516895
17482,dcgat-agm003746000,Bi-0.667-Ir-0.167-Pd-0.167,-1.1205496052153348
19717,mp-2418,Pd-0.333-Se-0.667,-1.1205927755720304
18494,mp-11252,Au-0.667-Mn-0.333,-1.1208613920894779
19345,mp-126,Pt-1.0,-1.1208645713842227
11729,dcgat-agm003212411,Se-0.667-Tl-0.333,-1.12104411441776
12502,dcgat-agm003277929,Au-0.667-Pt-0.333,-1.1216441197512292
23354,oqmd-473985,Co-0.25-Mn-0.5-Pt-0.25,-1.121842392723353
18207,mp-1026351,Mo-0.111-Te-0.667-W-0.222,-1.1221998059432785
19269,mp-1226731,Cd-0.1-Hg-0.4-Se-0.5,-1.1224690412925744
4646,dcgat-agm002149757,Fe-0.5-Ir-0.25-Rh-0.25,-1.1225812250562357
21698,oqmd-1472076,Pd-0.125-Pt-0.875,-1.1234085595188175
1137,dcgat-agm001219453,Pb-0.25-Pd-0.25-Pt-0.5,-1.1234258580104468
13261,dcgat-agm003299831,Hg-0.125-Pd-0.875,-1.1238119305548553
11909,dcgat-agm003261071,Au-0.75-Pt-0.25,-1.12381462290779
17093,dcgat-agm003677450,Au-0.417-Hg-0.083-Pd-0.5,-1.1239040221520953
19888,mp-32682,Ir-0.273-Te-0.727,-1.1247087369370212
5109,dcgat-agm002185578,Pd-0.273-Se-0.727,-1.1250948556165001
14559,dcgat-agm003455502,Ag-0.143-Au-0.571-Pt-0.286,-1.1251189445833982
12185,dcgat-agm003264521,Au-0.75-Pt-0.25,-1.1251377577254629
22219,oqmd-1571201,Ag-0.333-Cu-0.167-Pt-0.5,-1.1253222807556447
19475,mp-1836,Se-0.5-Tl-0.5,-1.125572098316535
20980,oqmd-1243590,Pb-0.5-Rh-0.5,-1.125930975798993
13174,dcgat-agm003298882,Au-0.833-Pt-0.167,-1.1259664855711349
20071,mp-570325,Au-0.5-Se-0.5,-1.1260240396836023
7933,dcgat-agm003161333,Au-0.667-Pt-0.333,-1.126508642610029
5550,dcgat-agm002238311,Pt-0.833-Sb-0.167,-1.1269532871009234
15776,dcgat-agm003600625,H-0.333-Pd-0.333-Pt-0.333,-1.1273625190882126
16599,dcgat-agm003643648,Ag-0.4-Hg-0.1-Pd-0.5,-1.127451524281681
14502,dcgat-agm003441005,Ag-0.143-Au-0.286-Pd-0.571,-1.1275162323407057
21245,oqmd-1365558,Pd-0.25-Pt-0.5-Sn-0.25,-1.1278099872086935
5521,dcgat-agm002234343,In-0.125-Pd-0.875,-1.12782776412657
15666,dcgat-agm003590215,H-0.235-Pd-0.706-Sb-0.059,-1.1278673282216456
14945,dcgat-agm003492793,Au-0.667-Cd-0.111-Pt-0.222,-1.12789580447989
12598,dcgat-agm003286958,H-0.4-Pd-0.6,-1.1280894699772754
7413,dcgat-agm003077330,H-0.2-Pd-0.6-Pt-0.2,-1.1282325273221363
4414,dcgat-agm002126423,Au-0.5-Pd-0.5,-1.1286866259068011
18198,mp-1025819,Mo-0.333-S-0.222-Se-0.444,-1.1288081432892083
15541,dcgat-agm003556575,Cu-0.375-Ni-0.125-Se-0.5,-1.129058004882629
18272,mp-1067236,Cd-0.25-Pt-0.75,-1.1290912875283956
2331,dcgat-agm001613987,H-0.2-Hg-0.2-Pd-0.2-Pt-0.4,-1.1293082062519604
7376,dcgat-agm003077136,Ag-0.2-H-0.2-Pd-0.6,-1.1293192140923307
11638,dcgat-agm003209429,Au-0.667-Pt-0.333,-1.129340231648949
21169,oqmd-1340598,Hg-0.2-Pd-0.8,-1.1296772937801922
20065,mp-569785,Pd-0.75-Tl-0.25,-1.1298145670641273
6218,dcgat-agm002351114,Pb-0.125-Pd-0.875,-1.1300288552152726
21170,oqmd-1340599,Au-0.625-Pd-0.375,-1.1300899104864666
2200,dcgat-agm001612204,Ag-0.2-Cd-0.2-H-0.2-Pt-0.4,-1.1302503337647964
6580,dcgat-agm002494503,H-0.2-Pt-0.6-Zn-0.2,-1.1303664995678968
8052,dcgat-agm003162850,Au-0.75-Pt-0.25,-1.1304363491360934
10042,dcgat-agm003190388,Au-0.75-Pt-0.25,-1.1304995820770327
19442,mp-1670,Mn-0.5-Pt-0.5,-1.130846104676091
1123,dcgat-agm001219047,Pd-0.5-Pt-0.25-Sn-0.25,-1.130960814784335
12602,dcgat-agm003286984,Au-0.4-Pd-0.6,-1.1310144795888073
21429,oqmd-1373377,Hg-0.333-Pd-0.667,-1.1310273907156079
12085,dcgat-agm003263271,Cd-0.25-Pt-0.75,-1.131240448178672
15303,dcgat-agm003529269,Pd-0.727-Se-0.091-Tl-0.182,-1.1312602509753877
19386,mp-14090,Cu-0.25-Se-0.5-Tl-0.25,-1.131282382564569
1119,dcgat-agm001218986,Pb-0.25-Pd-0.5-Pt-0.25,-1.1314105366325347
19690,mp-2280,Cu-0.333-Se-0.667,-1.1319339809080944
17498,dcgat-agm003751339,Au-0.167-H-0.167-Pd-0.667,-1.1319940316008408
1117,dcgat-agm001218981,Au-0.25-Pd-0.5-Pt-0.25,-1.1320656870100283
19523,mp-2000,Cu-0.333-Se-0.667,-1.1324162546673797
13543,dcgat-agm003327745,Au-0.375-Pd-0.375-Pt-0.25,-1.1325139179554067
3278,dcgat-agm001635968,H-0.2-In-0.2-Pt-0.4-Rh-0.2,-1.1325387166560863
13358,dcgat-agm003304561,H-0.429-Pd-0.286-Pt-0.286,-1.133038808082699
19722,mp-24289,H-0.5-Pd-0.5,-1.1331345048366854
14503,dcgat-agm003442666,Au-0.286-Pd-0.571-Tl-0.143,-1.1332886007042915
7385,dcgat-agm003077165,Au-0.2-H-0.2-Pd-0.6,-1.1333084018672817
21849,oqmd-1494496,Cu-0.125-Pd-0.75-Pt-0.125,-1.1334264881946603
3760,dcgat-agm001923891,H-0.5-Pt-0.5,-1.133509656793498
6526,dcgat-agm002490125,H-0.2-Pd-0.6-Pt-0.2,-1.1337230717755893
23061,oqmd-302342,Au-0.25-Pd-0.75,-1.1339606173116303
15697,dcgat-agm003596380,Au-0.444-Pd-0.444-Pt-0.111,-1.1340404727276003
1493,dcgat-agm001280007,Au-0.75-Pt-0.25,-1.1341843220929535
13185,dcgat-agm003298939,Pd-0.833-Tl-0.167,-1.1342602078431936
12687,dcgat-agm003289229,Ag-0.188-Pd-0.812,-1.1344850707578362
3093,dcgat-agm001626985,H-0.2-Pb-0.2-Pt-0.4-Rh-0.2,-1.134544597186173
20510,mp-974395,Pt-0.75-Rh-0.25,-1.1346158957011294
4077,dcgat-agm002069645,As-0.333-H-0.667,-1.1347988266348108
11216,dcgat-agm003203021,Se-1.0,-1.1348035417814484
6450,dcgat-agm002383359,Pt-0.889-Sn-0.111,-1.1348227508181732
12917,dcgat-agm003293190,Se-0.417-Tl-0.583,-1.1348678696722923
6217,dcgat-agm002351113,Cd-0.125-Pd-0.875,-1.135015154757995
803,dcgat-agm001192676,Pt-0.833-Sn-0.167,-1.135020114928245
14635,dcgat-agm003465725,Pd-0.625-Pt-0.125-Sn-0.25,-1.1350240793846011
5028,dcgat-agm002180056,Au-0.75-Pt-0.25,-1.1350989832010163
20464,mp-9386,Au-0.5-Cs-0.167-Se-0.333,-1.1353573180392744
12786,dcgat-agm003290571,Hg-0.375-Pd-0.625,-1.1353694015780667
23262,oqmd-406435,Cu-0.5-Pd-0.25-Pt-0.25,-1.1355237643094402
13225,dcgat-agm003299643,Ge-0.125-Pd-0.875,-1.1356609278325367
12969,dcgat-agm003294526,Au-0.333-Pd-0.667,-1.1356968497502824
12928,dcgat-agm003293252,Au-0.583-Pd-0.417,-1.1357173487570065
20403,mp-865985,Cd-0.25-Pd-0.75,-1.1359613336468763
5061,dcgat-agm002183074,Cd-0.5-S-0.5,-1.1359668699016914
23285,oqmd-451444,Ag-0.25-Rh-0.5-Sn-0.25,-1.135999974538584
17660,dcgat-agm003765689,H-0.125-Pd-0.75-Se-0.125,-1.1360026198229378
21094,oqmd-1339255,Hg-0.333-Pd-0.667,-1.1362942579337592
15866,dcgat-agm003606983,Ag-0.333-Au-0.333-Pt-0.333,-1.1363248761021323
13243,dcgat-agm003299726,Ag-0.125-Pd-0.875,-1.136370244878488
15488,dcgat-agm003551093,Au-0.5-Pd-0.375-Pt-0.125,-1.1363912451436167
5075,dcgat-agm002185005,Ag-0.4-Hg-0.2-Se-0.4,-1.1365221431099641
15687,dcgat-agm003595818,Au-0.444-Hg-0.111-Pd-0.444,-1.1366523328245561
14643,dcgat-agm003465756,Au-0.25-Pd-0.625-Pt-0.125,-1.136757951366698
7172,dcgat-agm003071315,Cd-0.2-H-0.2-Pt-0.6,-1.1368202121156181
13215,dcgat-agm003299340,Au-0.167-Pt-0.833,-1.1368525967047174
15445,dcgat-agm003541771,Ag-0.429-Au-0.143-Pd-0.429,-1.1368812371546717
6219,dcgat-agm002351115,Pd-0.875-Sn-0.125,-1.1369655347590322
12822,dcgat-agm003291123,Au-0.7-Pt-0.3,-1.1370307683486933
19107,mp-1221696,Fe-0.125-Mn-0.125-Pd-0.75,-1.137358418347282
14633,dcgat-agm003465722,Pd-0.125-Pt-0.625-Sn-0.25,-1.137443543305804
7364,dcgat-agm003077115,Ag-0.2-H-0.2-Pd-0.6,-1.137580983904659
8054,dcgat-agm003162853,Au-0.75-Pt-0.25,-1.1376378339669184
13254,dcgat-agm003299759,Au-0.125-Pd-0.875,-1.1377568037425445
19374,mp-1361,Ir-0.333-Se-0.667,-1.1381434918241742
17368,dcgat-agm003736010,Ag-0.167-Au-0.167-Pd-0.667,-1.1382301309773184
17770,dcgat-agm003768442,Hg-0.125-Pb-0.125-Pd-0.75,-1.1382967682112737
12375,dcgat-agm003267594,H-0.889-Si-0.111,-1.138330431343991
23292,oqmd-452184,Cd-0.25-Rh-0.5-Zn-0.25,-1.1384163340102358
8567,dcgat-agm003170315,Au-0.25-Cd-0.25-Pt-0.5,-1.138439881347677
20084,mp-571030,Pd-0.75-Tl-0.25,-1.1384468949561022
1628,dcgat-agm001296623,Ag-0.25-Cd-0.25-Pd-0.25-Pt-0.25,-1.1384706529912147
21103,oqmd-1339428,Cd-0.25-Pd-0.75,-1.1386391502285043
8055,dcgat-agm003162854,Au-0.5-Pt-0.5,-1.139028510029783
11636,dcgat-agm003209049,Ag-0.333-Pt-0.667,-1.1391039543883212
17755,dcgat-agm003768127,Pb-0.125-Pd-0.75-Tl-0.125,-1.1391959896079653
15525,dcgat-agm003552765,Ag-0.375-Sb-0.125-Se-0.5,-1.1392070498062674
14118,dcgat-agm003421829,Ag-0.5-Pd-0.333-Pt-0.167,-1.139322772978204
20612,oqmd-1012808,Mn-0.5-Pt-0.25-Rh-0.25,-1.1394368308858178
1040,dcgat-agm001215469,Ge-0.25-Mn-0.25-Ni-0.5,-1.1394513633627614
12680,dcgat-agm003289181,Pd-0.188-Pt-0.812,-1.1395569912660708
6751,dcgat-agm002924408,Au-0.2-H-0.4-Pt-0.4,-1.1396574531703245
3786,dcgat-agm002018413,Au-0.5-Se-0.5,-1.139869475953477
15064,dcgat-agm003512593,H-0.2-Pd-0.7-Te-0.1,-1.1398732639575675
17699,dcgat-agm003766408,Ag-0.125-Au-0.125-Pd-0.75,-1.1399273815117952
8004,dcgat-agm003161711,Ag-0.25-Pt-0.75,-1.1399867200229714
8384,dcgat-agm003166405,Ag-0.25-Au-0.5-Pt-0.25,-1.1400518649938056
2076,dcgat-agm001417121,Au-0.5-Pd-0.5,-1.1401918567621765
8374,dcgat-agm003166393,Ag-0.5-Au-0.25-Pt-0.25,-1.1401962300203574
6827,dcgat-agm002925557,H-0.4-Mn-0.2-Rh-0.4,-1.1404015372369298
23095,oqmd-308096,Mo-0.25-W-0.75,-1.1405447359856056
20484,mp-971891,Au-0.25-Pd-0.25-Zn-0.5,-1.1405536405132346
18345,mp-1079938,Pd-0.75-Tl-0.25,-1.1408008934031177
17040,dcgat-agm003676549,Sb-0.083-Se-0.5-Tl-0.417,-1.1409831830710533
13239,dcgat-agm003299720,Pd-0.875-Te-0.125,-1.140985234600039
21716,oqmd-1473251,Hg-0.5-Se-0.5,-1.1410014185487571
20930,oqmd-1123903,Ag-0.25-Au-0.25-Pd-0.5,-1.1410855958485122
14646,dcgat-agm003465765,Pd-0.625-Pt-0.125-Tl-0.25,-1.1410968042221286
13227,dcgat-agm003299651,Ga-0.125-Pt-0.875,-1.1411091564017868
9371,dcgat-agm003183055,Mn-0.25-Ni-0.5-Zn-0.25,-1.141179447507124
12985,dcgat-agm003294847,Hg-0.333-Pd-0.667,-1.141236085337404
18912,mp-1216602,Pb-0.083-Pd-0.75-Tl-0.167,-1.1412650743342612
19028,mp-1219920,Au-0.5-Pd-0.5,-1.14163090252887
7381,dcgat-agm003077149,Au-0.2-H-0.2-Pd-0.6,-1.1416917571325023
13226,dcgat-agm003299650,Pt-0.875-Sn-0.125,-1.1417499814206469
21192,oqmd-1340993,Au-0.375-Pd-0.625,-1.1417952965286857
7370,dcgat-agm003077124,Ag-0.2-H-0.2-Pd-0.6,-1.1419371574894361
4423,dcgat-agm002126892,Pt-1.0,-1.1420183270990028
3769,dcgat-agm002018195,Se-0.667-Te-0.333,-1.142177860920636
15859,dcgat-agm003606491,Au-0.333-Pd-0.333-Pt-0.333,-1.142243001758485
18603,mp-1184209,Ga-0.25-Pd-0.75,-1.1422434781632989
11699,dcgat-agm003212240,Ag-0.417-Pt-0.583,-1.1422650080388639
19407,mp-1551,Ir-0.333-Te-0.667,-1.142300607800319
875,dcgat-agm001193483,Au-0.167-Pd-0.833,-1.1423407989693368
5561,dcgat-agm002239622,Ag-0.167-Pd-0.167-Se-0.667,-1.1423730572838466
12698,dcgat-agm003289290,Pd-0.812-Tl-0.188,-1.1424092768121499
5427,dcgat-agm002217336,In-0.111-Pt-0.889,-1.1425943094590867
14932,dcgat-agm003490415,Au-0.222-Hg-0.111-Pd-0.667,-1.142625678325702
20288,mp-862620,Ir-0.25-Ru-0.75,-1.1428699702702558
7781,dcgat-agm003158560,Ag-0.333-Au-0.333-Pt-0.333,-1.1429461032478314
5078,dcgat-agm002185135,Ir-0.333-Se-0.667,-1.1430924039681902
10612,dcgat-agm003194960,Au-0.8-Pt-0.2,-1.1434023026669475
5983,dcgat-agm002332012,Cd-0.111-Pt-0.889,-1.1434724648812744
1120,dcgat-agm001218987,Pd-0.5-Pt-0.25-Tl-0.25,-1.1435212061457949
14859,dcgat-agm003486510,Au-0.222-Pd-0.667-Tl-0.111,-1.1435939613979822
21199,oqmd-1341053,Au-0.5-Pd-0.5,-1.1438672203092444
8051,dcgat-agm003162849,Au-0.75-Pt-0.25,-1.1439789136644403
